order_transaction_id,order_transaction_type,order_transaction_date,original_sale_transaction_id,customer_id,return_type,shipped_date,delivered_date,pick_up_date,warehouse_received_date
#3305124,Sale,2024-02-03,#3305124,6640786112590,,2024-02-03,2024-02-07,,
#3305125,Sale,2024-02-03,#3305125,6640927670350,,2024-02-03,2024-02-07,,
#3305126,Sale,2024-02-03,#3305126,6640928030798,,2024-02-03,2024-02-08,,
#3305127,Sale,2024-02-03,#3305127,6618840694862,,2024-02-03,2024-02-06,,
#3305128,Sale,2024-02-03,#3305128,5162157342798,,2024-02-03,2024-02-07,,
#3305130,Sale,2024-02-04,#3305130,6640929472590,,2024-02-04,2024-02-08,,
#3305131,Sale,2024-02-04,#3305131,6569035300942,,2024-02-04,2024-02-08,,
#3305132,Sale,2024-02-04,#3305132,5141770305614,,2024-02-04,2024-02-08,,
#3305133,Sale,2024-02-04,#3305133,6640923082830,,2024-02-04,2024-02-12,,
#3305134,Sale,2024-02-04,#3305134,6469685706830,,2024-02-04,2024-02-08,,
#3305135,Sale,2024-02-04,#3305135,6436787224654,,2024-02-04,2024-02-09,,
#3305136,Sale,2024-02-04,#3305136,6640930324558,,2024-02-04,2024-02-12,,
#3305137,Sale,2024-02-04,#3305137,6640931242062,,2024-02-04,,,
#3305139,Sale,2024-02-04,#3305139,6640931209294,,2024-02-04,2024-02-08,,
#3305140,Sale,2024-02-04,#3305140,6640931700814,,2024-02-04,2024-02-08,,
#3305141,Sale,2024-02-04,#3305141,6640931799118,,2024-02-04,2024-02-08,,
#3305142,Sale,2024-02-04,#3305142,5620201029710,,2024-02-04,2024-02-13,,
#3305143,Sale,2024-02-04,#3305143,6640930914382,,2024-02-04,2024-02-08,,
#3305144,Sale,2024-02-04,#3305144,6640916070478,,2024-02-04,,2024-02-09,
#3305145,Sale,2024-02-04,#3305145,2753457946702,,2024-02-04,2024-02-09,,
#3305146,Sale,2024-02-04,#3305146,6640930979918,,2024-02-04,2024-02-08,,
#3305147,Sale,2024-02-04,#3305147,2203000176718,,2024-02-04,2024-02-13,,
#3305148,Sale,2024-02-04,#3305148,6383431155790,,2024-02-04,2024-02-07,,
#3305149,Sale,2024-02-04,#3305149,6580825489486,,2024-02-04,2024-02-08,,
#3305150,Sale,2024-02-04,#3305150,6640934813774,,2024-02-04,2024-02-08,,
#3305151,Sale,2024-02-04,#3305151,6640932814926,,2024-02-04,2024-02-13,,
#3305152,Sale,2024-02-04,#3305152,6640934125646,,2024-02-04,2024-02-08,,
#3305153,Sale,2024-02-04,#3305153,6640935206990,,2024-02-04,2024-02-07,,
#3305154,Sale,2024-02-04,#3305154,6640933601358,,2024-02-04,2024-02-09,,
#3305155,Sale,2024-02-04,#3305155,6639785476174,,2024-02-04,2024-02-08,,
#3305156,Sale,2024-02-04,#3305156,6640935600206,,2024-02-04,2024-02-08,,
#3305157,Sale,2024-02-04,#3305157,2882688843854,,2024-02-04,2024-02-06,,
#3305159,Sale,2024-02-04,#3305159,6498220605518,,2024-02-04,2024-02-07,,
#3305160,Sale,2024-02-04,#3305160,6640933404750,,2024-02-04,2024-02-08,,
#3305161,Sale,2024-02-04,#3305161,6640937369678,,2024-02-04,2024-02-08,,
#3305163,Sale,2024-02-04,#3305163,6640937926734,,2024-02-04,2024-02-09,,
#3305164,Sale,2024-02-04,#3305164,6640937730126,,2024-02-04,2024-02-09,,
#3305165,Sale,2024-02-04,#3305165,2827577917518,,2024-02-04,2024-02-09,,
#3305167,Sale,2024-02-04,#3305167,6640937205838,,2024-02-04,2024-02-07,,
#3305168,Sale,2024-02-04,#3305168,6640933208142,,2024-02-04,,2024-02-07,
#3305169,Sale,2024-02-04,#3305169,6640938909774,,2024-02-04,2024-02-09,,
#3305170,Sale,2024-02-04,#3305170,6622394974286,,2024-02-04,2024-02-08,,
